,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,pred
833,1999-04-23,7.71,8.42,7.67,7.3,104455.0,0.26,3.51,7.522,7.181,7.337999999999999,36504.6,27462.9,20461.05,31.02,6.95
834,1999-04-16,7.8,7.85,7.41,7.18,19303.0,-0.38,-4.88,7.4479999999999995,7.074,7.376,20380.2,18251.9,16298.7,5.73,7.67
835,1999-04-09,7.72,7.95,7.79,7.49,31099.0,0.26,3.45,7.474,6.997000000000001,7.43,22492.0,18096.7,16790.9,9.24,7.41
836,1999-04-02,7.2,7.6,7.53,7.2,17759.0,0.32,4.44,7.306,6.871,7.472,21635.8,16521.0,16477.15,5.27,7.79
837,1999-03-26,7.35,7.38,7.21,7.12,9907.0,-0.09,-1.23,7.046,6.886,7.521,18730.2,15490.2,17015.55,2.94,7.53
838,1999-03-19,7.6,7.69,7.3,7.05,23833.0,-0.24,-3.18,6.84,6.945,7.591,18421.2,15170.0,18642.9,7.08,7.21
839,1999-03-12,7.0,7.58,7.54,6.81,29862.0,0.59,8.49,6.7,7.029,7.686,16123.6,14440.8,23399.4,8.87,7.3
840,1999-03-05,6.29,7.09,6.95,6.16,26818.0,0.72,11.56,6.52,7.067,7.7620000000000005,13701.4,13395.2,24617.55,7.96,7.54
841,1999-02-09,6.1,6.25,6.23,6.06,3231.0,0.05,0.81,6.436,7.166,7.86,11406.2,11687.7,24342.2,0.96,6.95
842,1999-02-05,6.56,6.73,6.18,6.15,8362.0,-0.42,-6.36,6.726,7.312,7.983,12250.2,12228.4,26878.5,2.48,6.23
843,1999-01-29,6.64,6.84,6.6,6.35,12345.0,-0.04,-0.6,7.05,7.495,8.116,11918.8,13459.2,32854.5,3.67,6.18
844,1999-01-22,6.35,6.68,6.64,6.05,17751.0,0.11,1.69,7.358,7.6770000000000005,8.23,12758.0,14345.5,35137.9,5.27,6.6
845,1999-01-15,7.8,7.8,6.53,6.53,15342.0,-1.15,-14.97,7.614,7.8629999999999995,8.322000000000001,13089.0,15485.1,36433.85,4.56,6.64
846,1999-01-08,7.95,7.95,7.68,7.21,7451.0,-0.12,-1.54,7.896,8.073,8.424,11969.2,16433.3,40081.3,2.21,6.53
847,1998-12-31,8.14,8.15,7.8,7.76,6705.0,-0.34,-4.18,7.898,8.155,8.488,12206.6,18540.9,46643.9,1.99,7.68
848,1998-12-25,7.9,8.25,8.14,7.7,16541.0,0.22,2.78,7.94,8.236,8.533999999999999,14999.6,22115.8,52037.6,4.91,7.8
849,1998-12-18,7.98,8.11,7.92,7.5,19406.0,-0.02,-0.25,7.996,8.343,8.501,15933.0,32358.0,52146.6,5.76,8.14
850,1998-12-11,7.85,8.05,7.94,7.7,9743.0,0.25,3.25,8.112,8.456,8.484,17881.2,35839.9,51700.9,2.89,7.92
851,1998-12-04,7.95,8.06,7.69,7.68,8638.0,-0.32,-4.0,8.25,8.554,8.487,20897.4,36996.7,52127.2,2.57,7.94
852,1998-11-27,8.41,8.53,8.01,8.0,20670.0,-0.41,-4.87,8.412,8.654,8.49,24875.2,41528.6,52725.45,6.14,7.69
853,1998-11-20,8.5,8.69,8.42,8.35,21208.0,-0.08,-0.94,8.532,8.737,8.517000000000001,29232.0,52249.8,52592.0,6.3,8.01
854,1998-11-13,8.63,8.96,8.5,8.49,29147.0,-0.13,-1.51,8.69,8.782,8.564,48783.0,55930.3,52218.35,8.66,8.42
